name,region,lat,lon,tags
강동몽돌해변 (정자해변),울산광역시,35.6278381472,129.4423980082,"관광,자연"
강동예찬시비,서울특별시,37.5426290283,127.1207892964,"관광,문화"
강따라 방림 가는길,강원특별자치도,37.4496840341,128.4586570232,"관광,자연"
강릉 3.1운동 기념공원,강원특별자치도,37.7972995865,128.9002177764,"관광,문화"
강릉 경포대,강원특별자치도,37.7955691591,128.8965126086,"관광,문화"
강릉 굴산사지,강원특별자치도,37.7072681694,128.8918046506,"관광,문화"
강릉 남산공원,강원특별자치도,37.7480551515,128.8934282457,"관광,문화"
강릉 녹색도시체험센터,강원특별자치도,37.752184886,128.8758158157,"관광,문화"
강릉 대기리마을,강원특별자치도,37.5883185884,128.7776435739,"관광,문화"
강릉 대도호부 관아,강원특별자치도,37.7532767444,128.8921226461,"관광,문화"
강릉 메타버스 체험관,강원특별자치도,37.7879702339,128.906528608,"관광,문화"
강릉 모래내 한과마을(갈골한과),강원특별자치도,37.8138296931,128.8328344506,"관광,문화"
강릉 방동리 무궁화,강원특별자치도,37.8274342795,128.8639367794,"관광,자연"
강릉 복사꽃마을,강원특별자치도,37.8801348222,128.7773762919,"관광,문화"
강릉 선교장,강원특별자치도,37.7865588677,128.8850778068,"관광,문화"
강릉 솔향수목원,강원특별자치도,37.6979158879,128.8617409792,"관광,자연"
강릉 안목해맞이공원,강원특별자치도,37.7743308995,128.9451477738,"관광,문화"
강릉 오금집,강원특별자치도,37.7563708685,128.8940418219,"관광,문화"
강릉 오죽헌,강원특별자치도,37.7787651808,128.8776814918,"관광,문화"
강릉 월화거리,강원특별자치도,37.7559015445,128.8974470859,"관광,문화"
강릉 임영관 삼문,강원특별자치도,37.7531378647,128.8917699042,"관광,문화"
강릉 통일공원,강원특별자치도,37.7204603916,128.9984085388,"관광,문화"
강릉 한복 문화 창작소,강원특별자치도,37.7588151581,128.9006133766,"관광,문화"
강릉 한울타리마을,강원특별자치도,37.6128390281,128.9747778772,"관광,문화"
강릉 해살이마을,강원특별자치도,37.7929261321,128.8109759564,"관광,문화"
강릉 해운정,강원특별자치도,37.7862090263,128.8911356052,"관광,문화"
강릉수월래,강원특별자치도,37.7690162327,128.8737571477,"관광,문화"
강릉시강남축구공원,강원특별자치도,37.7418033471,128.9062745042,"관광,문화"
강릉아기동물농장,강원특별자치도,37.8462598232,128.8611225614,"관광,문화"
강릉아트센터,강원특별자치도,37.7716996777,128.8954273345,"관광,문화"
강릉안반데기관광농원,강원특별자치도,37.6087932748,128.7400518871,"관광,문화"
강릉커피거리,강원특별자치도,37.7726505813,128.9473504054,"관광,문화"
강릉향교,강원특별자치도,37.7635561721,128.8952470467,"관광,문화"
강문솟대다리,강원특별자치도,37.7985635711,128.9126221751,"관광,문화"
강문해변,강원특별자치도,37.7948530151,128.9190439335,"관광,자연"
강변스파랜드,서울특별시,37.5349377239,127.0913227521,"관광,문화"
강변저류지,강원특별자치도,37.1802648936,128.4483742907,"관광,자연"
강상체육공원,경기도,37.4832897707,127.4859661494,"관광,문화"
강서역사문화거리,서울특별시,37.5722343802,126.8366643489,"관광,문화"
강서체육공원,부산광역시,35.2078571105,128.9738950093,"관광,문화"
강서한강공원,서울특별시,37.5860935311,126.8171601831,"관광,문화"
강씨봉 자연휴양림,경기도,37.9700067673,127.4083868175,"관광,자연"
강아지숲,강원특별자치도,37.7364886333,127.6620400154,"관광,문화"
강영천효자문,경기도,37.9689765715,127.4214078804,"관광,문화"
강원 경찰충혼탑,강원특별자치도,37.9167408445,127.7130161606,"관광,문화"
강원 영월 김삿갓면 [슬로시티],강원특별자치도,37.1256818109,128.5701372137,"관광,문화"
강원숲체험장,강원특별자치도,37.9630563077,127.6397214646,"관광,문화"
강원특별자치도 탄광문화촌,강원특별자치도,37.2631362582,128.4669118411,"관광,문화"
강원특별자치도립화목원,강원특별자치도,37.9233347533,127.7254731639,"관광,자연"
강정고령보,대구광역시,35.8411597415,128.4650416326,"관광,문화"
강정천,제주특별자치도,33.2566620021,126.474738413,"관광,자연"
강진 갯들소리마을,전라남도,34.4985032699,126.7458720283,"관광,문화"
강진 백련사 동백나무 숲,전라남도,34.5876738723,126.7486001914,"관광,자연"
강진 오감통,전라남도,34.6391324006,126.773588414,"관광,문화"
강진다원,전라남도,34.7409031836,126.7061613195,"관광,문화"
강진만,전라남도,34.595223382,126.770150892,"관광,자연"
강진영랑생가,전라남도,34.6421930307,126.7652918469,"관광,문화"
강진향교,전라남도,34.6503616614,126.7714883256,"관광,문화"
강천사 모과나무,전북특별자치도,35.3987570781,127.0556862716,"관광,자연"
강천사(순창),전북특별자치도,35.3984154482,127.0555668463,"관광,문화"
강천사(제천),충청북도,37.206525119,128.2669759133,"관광,문화"
강천사계곡,전북특별자치도,35.3998321107,127.0647187774,"관광,자연"
강천산휴양농원,전북특별자치도,35.4277205858,127.0627071317,"관광,문화"
강천섬,경기도,37.23438905,127.6942516838,"관광,자연"
강촌 출렁다리공원,강원특별자치도,37.813601407,127.6358095763,"관광,문화"
강촌유원지,강원특별자치도,37.8157038798,127.6325486998,"관광,문화"
강하예술공원,경기도,37.498750559,127.4144027534,"관광,문화"
강하체육공원,경기도,37.4966119139,127.4141833901,"관광,문화"
강한사,경기도,37.2991248935,127.6331386778,"관광,문화"
강화 갑곶리 탱자나무,인천광역시,37.7541460175,126.4948543916,"관광,자연"
강화 고인돌 유적 [유네스코 세계유산],인천광역시,37.7734344221,126.4374730037,"관광,문화"
강화 달빛동화마을,인천광역시,37.6803032508,126.416496966,"관광,문화"
강화 덕진진,인천광역시,37.6492060173,126.5256656119,"관광,문화"
강화 동막해변,인천광역시,37.5932918804,126.4570623331,"관광,자연"
강화 사기리 탱자나무,인천광역시,37.6165030596,126.4567228313,"관광,자연"
강화 석수문,인천광역시,37.7468243111,126.4756785763,"관광,문화"
강화 선원사지,인천광역시,37.7188250962,126.4924889291,"관광,문화"
강화 아르미애월드,인천광역시,37.7029259337,126.4347557746,"관광,문화"
강화 용두레마을,인천광역시,37.7184755935,126.3604121578,"관광,문화"
강화 장정리 오층석탑,인천광역시,37.7798472622,126.4203938355,"관광,문화"
강화 전등사,인천광역시,37.6316934164,126.4829144565,"관광,문화"
강화 초지진,인천광역시,37.6326163996,126.5322543599,"관광,문화"
강화 화개산 모노레일,인천광역시,37.7837223036,126.2902251211,"관광,문화"
강화 화문석마을,인천광역시,37.8020036798,126.4584675001,"관광,문화"
강화도,인천광역시,37.7465023392,126.4877441465,"관광,자연"
강화도 자연체험농장,인천광역시,37.6077579313,126.5178813669,"관광,문화"
강화도령 화문석 체험장,인천광역시,37.7678991029,126.4457501762,"관광,문화"
강화도제적봉 평화전망대,인천광역시,37.8263253898,126.432966382,"관광,문화"
강화루지(강화씨사이드리조트),인천광역시,37.6171759306,126.4981273568,"관광,문화"
강화산성,인천광역시,37.7560400476,126.4838970101,"관광,문화"
강화오상리고인돌군,인천광역시,37.7323802364,126.4009025027,"관광,문화"
강화유수부동헌,인천광역시,37.7508851202,126.4854359021,"관광,문화"
강화전적지,인천광역시,37.7335599037,126.5160196946,"관광,문화"
강화함상공원,인천광역시,37.7001614769,126.3840493884,"관광,문화"
강화해수랜드,인천광역시,37.6260699674,126.5337766252,"관광,문화"
같이삽시도,충청남도,36.3460870976,126.3532940863,"관광,문화"
개군레포츠공원,경기도,37.435873896,127.5326299514,"관광,문화"
개금벚꽃길,부산광역시,35.1462842377,129.0164402096,"관광,자연"
개나리공원,경기도,37.2110137213,127.0667924378,"관광,문화"
개덕사,충청남도,36.2309235405,127.5307471419,"관광,문화"
개똥이네농장,제주특별자치도,33.4949185817,126.6227951824,"관광,문화"
개목사(안동),경상북도,36.6579122746,128.6679949669,"관광,문화"
개목항,충청남도,36.831950203,126.1678092685,"관광,자연"
개미들마을,강원특별자치도,37.3190202362,128.6927565739,"관광,문화"
개실마을,경상북도,35.6677222637,128.2274589909,"관광,문화"
개심사 목조여래좌상과 목조관음보살좌상,충청북도,36.8149947491,127.794835129,"관광,문화"
개심사(괴산),충청북도,36.8149253105,127.7947184742,"관광,문화"
개암사,전북특별자치도,35.6628507594,126.6498267208,"관광,문화"
개오리오름,제주특별자치도,33.4262287923,126.6125115262,"관광,자연"
개운사(서울),서울특별시,37.5899857439,127.0280213987,"관광,문화"
개운포성지,울산광역시,35.4763394037,129.3426304352,"관광,문화"
개천사 비자나무숲,전라남도,34.8981389244,126.9116143586,"관광,자연"
개천지와 조성지,경상북도,36.3880253434,128.4624487572,"관광,자연"
개태사(논산),충청남도,36.2407281973,127.2293710155,"관광,문화"
개화산 호국공원,서울특별시,37.5812522032,126.804514251,"관광,문화"
개화예술공원,충청남도,36.3133182941,126.6585619211,"관광,문화"
객사길,전북특별자치도,35.817666612,127.143728744,"관광,문화"
갯골자연휴양림,강원특별자치도,38.080790683,128.1281817583,"관광,자연"
갯마을해변,강원특별자치도,37.9448496992,128.785448555,"관광,자연"
거금도,전라남도,34.4745705867,127.1247616096,"관광,자연"
거금생태숲,전라남도,34.4538883157,127.2156652719,"관광,자연"
거꾸로옛이야기나라숲,경상북도,36.57756052,127.9281326564,"관광,문화"
거꾸로천문대,충청북도,36.5937998565,127.4411146872,"관광,자연"
거꾸로하우스,서울특별시,37.5457465853,127.0361052512,"관광,문화"
거락계곡,경상남도,35.1416258192,128.3721854292,"관광,자연"
거례리 수목공원&반지교,강원특별자치도,38.0760051882,127.6897357562,"관광,문화"
거류산,경상남도,34.9953368097,128.3798219747,"관광,자연"
거리공원,서울특별시,37.4995521419,126.8916141621,"관광,문화"
거린사슴,제주특별자치도,33.3073171985,126.4543696003,"관광,자연"
거린사슴전망대,제주특별자치도,33.3062367724,126.4550112359,"관광,문화"
거문대교,전라남도,34.0564312951,127.3018063143,"관광,문화"
거문도,전라남도,34.0274901869,127.308948058,"관광,자연"
거문도해수욕장,전라남도,34.0199742783,127.3043097534,"관광,자연"
거북바위,인천광역시,37.4391529006,126.37916537,"관광,자연"
