id,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,강원평화누리길 14코스 인제 인제길,강원특별자치도 인제군 인제읍 인제로187번길 8,,38.0697872124,128.1703754777,2744407,"레포츠,레포츠",,[]
,강원평화누리길 15코스 인제 북면길,강원특별자치도 인제군 인제읍 인제로187번길 8,,38.0697872124,128.1703754777,2747912,"레포츠,레포츠",,[]
,강원평화누리길 16코스 고성 울산바위비경길,강원특별자치도 고성군 토성면 잼버리로 244,,38.2228812158,128.4965994225,2747957,"레포츠,레포츠",,[]
,강원평화누리길 17코스 고성 송지호 철새길,강원특별자치도 고성군 간성읍 고성중앙길 9,,38.3806733748,128.4678859929,2748011,"레포츠,레포츠",,[]
,강원평화누리길 18코스 고성 거진명태고향길,강원특별자치도 고성군 간성읍 고성중앙길 9,,38.3806733748,128.4678859929,2748045,"레포츠,레포츠",,[]
,강원평화누리길 19코스 고성 통일로 가는길,강원특별자치도 고성군 간성읍 고성중앙길 9,,38.3806733748,128.4678859929,2748069,"레포츠,레포츠",,[]
,강원평화누리길 2코스 철원 두루미 머무는길,강원특별자치도 철원군 갈말읍 삼부연로 51,,38.1469177015,127.3134902824,2735299,"레포츠,레포츠",,[]
,강원평화누리길 3코스 철원 화강길,강원특별자치도 철원군 갈말읍 삼부연로 51,,38.1469177015,127.3134902824,2735606,"레포츠,레포츠",,[]
,강원평화누리길 4코스 철원 누에길,강원특별자치도 철원군 갈말읍 삼부연로 51,,38.1467454972,127.3133569665,2736105,"레포츠,레포츠",,[]
,강원평화누리길 5코스 화천 만산동길,강원특별자치도 화천군 사내면 광덕리,,38.1262564305,127.4747177989,2736264,"레포츠,레포츠",,[]
,강원평화누리길 6코스 화천 미륵바위길,강원특별자치도 화천군 화천읍 화천새싹길 45,,38.1062381197,127.7082359391,2736444,"레포츠,레포츠",,[]
,강원평화누리길 7코스 화천 한묵령길,강원특별자치도 화천군 화천읍 화천새싹길 45,,38.1062381197,127.7082359391,2736704,"레포츠,레포츠",,[]
,강원평화누리길 8코스 화천 평화의 길,강원특별자치도 화천군 화천읍 화천새싹길 45,,38.1062381197,127.7082359391,2737328,"레포츠,레포츠",,[]
,강원평화누리길 9코스 양구 평화의길,강원특별자치도 양구군 양구읍 관공서로 38,,38.110048539,127.9900212289,2738680,"레포츠,레포츠",,[]
,강윤정프로샵 오크밸리점,강원특별자치도 원주시 지정면 구재로 216,,37.4032492434,127.7990540044,513254,"레포츠,레포츠",,[]
,강진청자촌오토캠핑장,전라남도 강진군 대구면 청자촌길 33,,34.5087280332,126.8009030607,2726793,"레포츠,레포츠",,[]
,강천산캠핑,전북특별자치도 순창군 팔덕면 강천로 664-26,,35.4159249532,127.0775255654,2740134,"레포츠,레포츠",,[]
,강촌 자전거 하이킹,강원특별자치도 춘천시 남산면 강촌로 150,,37.805871718,127.6340960708,2605226,"레포츠,레포츠",,[]
,강촌관광농원글램핑,강원특별자치도 춘천시 남산면 오양골길 134,,37.8191695637,127.6012819994,2740137,"레포츠,레포츠",,[]
,강촌레일파크 (김유정레일바이크),강원특별자치도 춘천시 신동면 김유정로 1383,,37.8157136906,127.7121497907,1947118,"레포츠,레포츠",,[]
,강촌레일파크경강레일바이크,강원특별자치도 춘천시 남산면 서백길 57,,37.8428714255,127.5507192399,2774559,"레포츠,레포츠",,[]
,강촌밸리,강원특별자치도 춘천시 남산면 강촌로 145-20,,37.8068273006,127.6415342547,2759580,"레포츠,레포츠",,[]
,강촌버즈글램핑,강원특별자치도 춘천시 서면 율장길 122-28,,37.8498600557,127.5806496406,2759582,"레포츠,레포츠",,[]
,강촌테마랜드,강원특별자치도 춘천시 남산면 북한강변길 1163,,37.8148679079,127.6348485151,2774561,"레포츠,레포츠",,[]
,강촌포도펜션오토캠핑장,강원특별자치도 춘천시 남산면 서백2길 36,,37.8085758252,127.572884896,2759590,"레포츠,레포츠",,[]
,강촌하늘아래,강원특별자치도 춘천시 남산면 풀무골1길 71,,37.8007196732,127.6413094558,2741528,"레포츠,레포츠",,[]
,강화 버팔로 캠팜,인천광역시 강화군 하점면 고려산로 329-74,,37.7548167585,126.4151894562,2791838,"레포츠,레포츠",,[]
,강화 자전거 관광코스,인천광역시 강화군 강화읍,,37.7464579051,126.4880330099,1074812,"레포츠,레포츠",,[]
,강화고인돌캠핑장,인천광역시 강화군 하점면 장정리 989,,37.7764812534,126.4354619918,2733991,"레포츠,레포츠",,[]
,강화나들 8코스,인천광역시 강화군 길상면 해안동로 58,,37.6326636172,126.5322738013,2754469,"레포츠,레포츠",,[]
,강화나들길11코스(석모도바람길),인천광역시 강화군 삼산면 삼산북로 14,,37.693553608,126.366556731,2791203,"레포츠,레포츠",,[]
,강화도 크로바야영장,인천광역시 강화군 길상면 해안남로 497-4,,37.59687016,126.5093213411,2791856,"레포츠,레포츠",,[]
,강화도 황청낚시터,인천광역시 강화군 내가면 황청포구로443번길 82,,37.7141928345,126.3647035503,1516091,"레포츠,레포츠",,[]
,강화도교동아일랜드카라반,인천광역시 강화군 교동면 교동남로 275,,37.7727820987,126.3007605687,2753104,"레포츠,레포츠",,[]
,강화도산들애캠핑수영장,인천광역시 강화군 강화읍 고비고개로 171,,37.7409441693,126.4602273801,2734000,"레포츠,레포츠",,[]
,강화도아침,인천광역시 강화군 길상면 해안남로 860-2,,37.6145425578,126.4784292328,2734006,"레포츠,레포츠",,[]
,강화레포츠파크,인천광역시 강화군 불은면 중앙로 546-34,,37.7148582113,126.4538675793,2597317,"레포츠,레포츠",,[]
,강화무지개글램핑,인천광역시 강화군 송해면 장정양오길 437,,37.7947600516,126.4568289651,2792619,"레포츠,레포츠",,[]
,강화캐라반캠핑장,인천광역시 강화군 화도면 해안남로 2669,,37.6359437885,126.373990979,2732137,"레포츠,레포츠",,[]
,강화캠핑파크,인천광역시 강화군 길상면 신촌로146번길 14-11,,37.6266084862,126.5163532044,2734015,"레포츠,레포츠",,[]
,개금불 어뮤니티,경상남도 합천군 묘산면 봉곡1길 24-11,,35.6346822256,128.1105812981,2740139,"레포츠,레포츠",,[]
,개똥이네캠핑장,강원특별자치도 홍천군 북방면 원소길 25,,37.7198479522,127.7606065512,2761737,"레포츠,레포츠",,[]
,개랭이 오토캠핑장,전라남도 순천시 흑가길 6-1,,34.8864538168,127.3845202682,2909189,"레포츠,레포츠",,[]
,개미들솔향기야영장,강원특별자치도 정선군 남면 광락로 354,,37.3191035596,128.6927537932,2761743,"레포츠,레포츠",,[]
,개암벌 용소 관광농원 캠핑장,강원특별자치도 홍천군 두촌면 군유동길 361-26,,37.8602402428,128.0707603218,2761751,"레포츠,레포츠",,[]
,개암벌용소관광농원,강원특별자치도 홍천군 두촌면 군유동길 361-26,,37.8608540802,128.0717935427,3036907,"레포츠,레포츠",,[]
