name,region,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging,detailed_keywords,keywords
강진만한정식,전라남도,34.6348550048,126.7676640386,2871594,,"관광,음식점",,,,,,,[],
강짬뽕,충청남도,36.2118385765,127.1578392952,2834511,,"관광,음식점",,,,,,,[],
강천 매운탕,경기도,37.234747611,127.7089503462,2863344,,"관광,음식점",,,,,,,[],
강촌,강원특별자치도,37.7607066913,128.9049990344,2685469,,"관광,음식점",,,,,,,[],
강촌갈비,강원특별자치도,37.6730324712,128.7089638364,2784840,,"관광,음식점",,,,,,,[],
강촌떡갈비,전북특별자치도,35.8113397417,127.1545918319,1855052,,"관광,음식점",,,,,,,[],
강촌매운탕,경기도,37.4952377933,127.3011325839,133814,,"관광,음식점",,,,,,,[],
강촌식당,강원특별자치도,38.0688377254,128.6242620698,626900,,"관광,음식점",,,,,,,[],
강촌쌈밥,서울특별시,37.610762927,126.9747812177,2847165,,"관광,음식점",,,,,,,[],
강태분 할머니묵집,대전광역시,36.4462185283,127.3838210857,1014486,,"관광,음식점",,,,,,,[],
강한식당,서울특별시,37.4927974795,126.8977249064,2682667,,"관광,음식점",,,,,,,[],
강호중마라도물회,부산광역시,35.1120076519,128.8722536946,2872626,,"관광,음식점",,,,,,,[],
강화가든,강원특별자치도,37.4375182824,129.153400587,134470,,"관광,음식점",,,,,,,[],
강화국수,인천광역시,37.7471633481,126.4863053709,2891607,,"관광,음식점",,,,,,,[],
강화섬약쑥한우,인천광역시,37.7264328502,126.5099871131,2836723,,"관광,음식점",,,,,,,[],
강화손칼국수 본점,인천광역시,37.6608250808,126.4230191316,2836753,,"관광,음식점",,,,,,,[],
강화식당,전라남도,35.3616898589,126.4449191893,2876642,,"관광,음식점",,,,,,,[],
