name,region,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities,detailed_keywords,keywords
구룡포 까르페 모텔,경상북도,35.9916632324,129.557994112,3049856,,"관광,숙박",,,,,,[],
구름속의 산책 키즈풀빌라,강원특별자치도,37.6421465983,127.6506354843,1851928,,"관광,숙박",,,,,,[],
구름에달가듯이,경기도,37.4926634451,127.4729253954,902648,,"관광,숙박",,,,,,[],
구름위의산책,경상남도,34.9755824961,128.1693186595,397834,,"관광,숙박",,,,,,[],
구름위의테라스,강원특별자치도,37.6792486745,128.7222096747,2761805,,"관광,숙박",,,,,,[],
구쁘다 아띠야,전북특별자치도,35.8089066603,127.153136469,2571954,,"관광,숙박",,,,,,[],
구월호텔,인천광역시,37.4409418292,126.7097184878,2539567,,"관광,숙박",,,,,,[],
구토란펜션,경상북도,35.7519410756,129.1607746629,2531281,,"관광,숙박",,,,,,[],
국군대천콘도,충청남도,36.3017339486,126.5219994994,3083643,,"관광,숙박",,,,,,[],
군위 상매댁(군위남천고택),대구광역시,36.0586774643,128.6540133379,2605489,,"관광,숙박",,,,,,[],
굿모닝가족호텔,강원특별자치도,38.190645317,128.6003326682,397656,,"관광,숙박",,,,,,[],
굿모닝레지던스호텔휴,대전광역시,36.3522820205,127.3816682769,1932079,,"관광,숙박",,,,,,[],
귀애고택,경상북도,36.0570150915,128.8741439717,1992038,,"관광,숙박",,,,,,[],
귤익는마을,제주특별자치도,33.3441111157,126.8501205782,138494,,"관광,숙박",,,,,,[],
그라시아펜션,강원특별자치도,37.3188925817,129.2720297377,2907234,,"관광,숙박",,,,,,[],
그람피하우스,충청남도,36.6565756082,126.3079150768,1932645,,"관광,숙박",,,,,,[],
그랑샤리오,강원특별자치도,37.478646613,128.2730117727,2913632,,"관광,숙박",,,,,,[],
그래비티 서울 판교 오토그래프 컬렉션,경기도,37.3933767103,127.1101250514,2819450,,"관광,숙박",,,,,,[],
그랜드 머큐어 앰배서더 창원,경상남도,35.2393394091,128.6551886257,620794,,"관광,숙박",,,,,,[],
그랜드 모텔,전라남도,34.3181846283,126.7498315599,137981,,"관광,숙박",,,,,,[],
그랜드 인터컨티넨탈 서울 파르나스,서울특별시,37.5095984514,127.0608845757,142769,,"관광,숙박",,,,,,[],
그랜드 인투라온 호텔 정선,강원특별자치도,37.2267414821,128.8123847368,2913870,,"관광,숙박",,,,,,[],
그랜드 인투라온호텔 정선,강원특별자치도,37.2267414821,128.8123847368,2725982,,"관광,숙박",,,,,,[],
그랜드 조선 제주,제주특별자치도,33.2501588629,126.4063028265,2819964,,"관광,숙박",,,,,,[],
그랜드 하얏트 인천,인천광역시,37.4404402287,126.4574442965,143090,,"관광,숙박",,,,,,[],
그랜드 하얏트 제주,제주특별자치도,33.4852923931,126.4814715703,2876795,,"관광,숙박",,,,,,[],
그랜드모텔[한국관광 품질인증/Korea Quality],충청남도,36.7271043609,126.8345989455,2651804,,"관광,숙박",,,,,,[],
그랜드시티호텔 창원[한국관광 품질인증/Korea Quality],경상남도,35.2215279553,128.6791092398,2652384,,"관광,숙박",,,,,,[],
그랜드플라자 청주호텔,충청북도,36.6666091257,127.4945134437,1992755,,"관광,숙박",,,,,,[],
그램호텔,경기도,37.7114606048,127.1870700941,2472515,,"관광,숙박",,,,,,[],
그레이193호텔,부산광역시,35.1540103687,129.1245417048,2816102,,"관광,숙박",,,,,,[],
그레이호텔,강원특별자치도,37.7667165432,128.8760764538,2902806,,"관광,숙박",,,,,,[],
그리네펜션,강원특별자치도,37.6352382676,128.3485613819,2761408,,"관광,숙박",,,,,,[],
그린랜드,경기도,37.7095120761,126.9484863658,3018583,,"관광,숙박",,,,,,[],
그린모텔,강원특별자치도,38.1873124871,127.2867693147,137644,,"관광,숙박",,,,,,[],
그린빌펜션,전라남도,34.725016935,127.0896974158,232291,,"관광,숙박",,,,,,[],
그린사이드,제주특별자치도,33.2564832418,126.4112189253,733624,,"관광,숙박",,,,,,[],
그린캠프유스호스텔,경기도,37.9321416459,127.5537941058,137995,,"관광,숙박",,,,,,[],
그린피아관광호텔,경기도,37.2038214009,126.9834446399,3081864,,"관광,숙박",,,,,,[],
그린하이츠모텔,경기도,37.7779734656,126.7891406539,746777,,"관광,숙박",,,,,,[],
그린향펜션,강원특별자치도,37.2855330666,129.2996699614,2913767,,"관광,숙박",,,,,,[],
그린힐펜션,경기도,38.0526209682,127.3453207065,685661,,"관광,숙박",,,,,,[],
그림같은집,강원특별자치도,37.5970753228,128.3119741644,2760248,,"관광,숙박",,,,,,[],
그림리조트,제주특별자치도,33.5162143194,126.5034939547,138597,,"관광,숙박",,,,,,[],
그림일기(그림일기펜션),충청남도,36.6410856421,126.3029464884,2574134,,"관광,숙박",,,,,,[],
그집이야기,경상남도,34.8218504905,128.3694913286,594387,,"관광,숙박",,,,,,[],
글래드 강남 코엑스센터,서울특별시,37.508876379,127.0645564837,3514681,,"관광,숙박",,,,,,[],
글래드 여의도,서울특별시,37.5274632459,126.9172804818,3492920,,"관광,숙박",,,,,,[],
글렌즈 게스트하우스(글렌즈게스트하우스),대구광역시,35.8633459531,128.6070729458,2571937,,"관광,숙박",,,,,,[],
글로리펜션,경상남도,34.7166640972,128.6287632071,641808,,"관광,숙박",,,,,,[],
글로스터호텔 인천,인천광역시,37.4003414436,126.7354589383,2708337,,"관광,숙박",,,,,,[],
글로스터호텔 제주,제주특별자치도,33.4901448115,126.4926621543,3089186,,"관광,숙박",,,,,,[],
금강산콘도,강원특별자치도,38.5108294531,128.4193668841,137477,,"관광,숙박",,,,,,[],
금농헌,전북특별자치도,35.8203387678,127.1574468976,2570576,,"관광,숙박",,,,,,[],
금단영[한국관광 품질인증/Korea Quality],제주특별자치도,33.3621237068,126.1936576942,3047975,,"관광,숙박",,,,,,[],
금마관,전북특별자치도,35.9963447951,127.059295472,2574164,,"관광,숙박",,,,,,[],
금수장관광호텔,광주광역시,35.1621787163,126.9184960636,136416,,"관광,숙박",,,,,,[],
금오봉한옥펜션캠핑장 (금오봉 후연지),경상북도,35.780788629,129.2037117516,2574179,,"관광,숙박",,,,,,[],
금주산방 까사펜션,경기도,37.9739955553,127.2771403628,903973,,"관광,숙박",,,,,,[],
기린모텔,전북특별자치도,36.0076401692,127.6592195217,2593245,,"관광,숙박",,,,,,[],
기쁨이 가득한 곳,전라남도,35.0863988421,126.4472840945,609928,,"관광,숙박",,,,,,[],
기와집농박,강원특별자치도,37.6200179858,128.3579415476,2801493,,"관광,숙박",,,,,,[],
길펜션,경기도,37.9501174575,127.2593065796,904638,,"관광,숙박",,,,,,[],
김천파크 관광호텔,경상북도,36.1160259279,128.0169236874,143003,,"관광,숙박",,,,,,[],
김치다운타운 게스트하우스 1B,서울특별시,37.5607518982,126.9649724176,2569038,,"관광,숙박",,,,,,[],
김치한옥게스트하우스,서울특별시,37.5780972142,126.971082481,2572845,,"관광,숙박",,,,,,[],
김포아트빌리지 전통한옥숙박체험관,경기도,37.6466871063,126.6962278583,2574186,,"관광,숙박",,,,,,[],
김해 넘버25호텔,경상남도,35.2347889109,128.9037642749,2502642,,"관광,숙박",,,,,,[],
김해한옥체험관[한국관광 품질인증/Korea Quality],경상남도,35.234077393,128.8772360521,2652952,,"관광,숙박",,,,,,[],
김호장군고택(경주 월암종택),경상북도,35.8196011984,129.2186426739,2570584,,"관광,숙박",,,,,,[],
까델아스 리조트,제주특별자치도,33.4758888442,126.3671844993,735314,,"관광,숙박",,,,,,[],
까미노(Camino) bnb,경상남도,35.2426003363,128.6652043289,2618541,,"관광,숙박",,,,,,[],
까사델아야,강원특별자치도,38.2683742906,128.5559176078,2574195,,"관광,숙박",,,,,,[],
까사모로,강원특별자치도,37.6969385561,127.7097562874,629269,,"관광,숙박",,,,,,[],
까사미니호텔[한국관광 품질인증/Korea Quality],경상북도,35.8410207302,129.2041877755,2949835,,"관광,숙박",,,,,,[],
까사초당,강원특별자치도,37.7872371221,128.9135279997,2913643,,"관광,숙박",,,,,,[],
까펠라 모텔,대전광역시,36.3587724087,127.3514708022,138836,,"관광,숙박",,,,,,[],
꼬뜨도르 호텔,제주특별자치도,33.5521887531,126.716877367,735781,,"관광,숙박",,,,,,[],
꼬마성,강원특별자치도,37.5658323796,128.3470191606,2761315,,"관광,숙박",,,,,,[],
꽃과 호수의 집,경기도,37.649318745,126.7743317576,2595494,,"관광,숙박",,,,,,[],
꽃내음펜션,강원특별자치도,37.283605469,129.2976007605,2913764,,"관광,숙박",,,,,,[],
꿈꾸는 노마드,제주특별자치도,33.2417251539,126.49956715,2528102,,"관광,숙박",,,,,,[],
꿈동산펜션,강원특별자치도,38.0542258804,128.2094557318,138046,,"관광,숙박",,,,,,[],
꿈속에 그린 펜션,강원특별자치도,37.4934390412,128.256812794,398138,,"관광,숙박",,,,,,[],
꿈의궁전모텔,강원특별자치도,38.2376843687,127.4365624173,626319,,"관광,숙박",,,,,,[],
끄라비 펜션,제주특별자치도,33.2795057737,126.5914111187,1891015,,"관광,숙박",,,,,,[],
나.미.송,제주특별자치도,33.430314132,126.4177005773,1869305,,"관광,숙박",,,,,,[],
나들한옥,경상북도,35.8361159955,129.2183644504,2595871,,"관광,숙박",,,,,,[],
나디아민박,강원특별자치도,37.3851232734,129.2422775823,2913780,,"관광,숙박",,,,,,[],
나루게스트하우스,서울특별시,37.5513826997,126.9179214153,2576469,,"관광,숙박",,,,,,[],
나무향기펜션,경상남도,34.841754191,128.6998481684,2569057,,"관광,숙박",,,,,,[],
나무호텔,서울특별시,37.5473643444,127.107215397,3303810,,"관광,숙박",,,,,,[],
나봄 S&HOTEL,대전광역시,36.425904356,127.3932957905,2930309,,"관광,숙박",,,,,,[],
나봄리조트,전북특별자치도,35.69967531,127.5106075964,1934699,,"관광,숙박",,,,,,[],
나이아가라호텔,서울특별시,37.5492794642,126.8786333892,143130,,"관광,숙박",,,,,,[],
나인밸리파크,충청북도,36.4291484926,127.8607067082,137379,,"관광,숙박",,,,,,[],
