Aㅁid,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,골체오름 벚꽃축제,제주특별자치도 제주시 조천읍 선흘리,,33.449683224,126.7043085822,3482354,"축제,인문",,[]
,공공미술 빛조각축제 <노원 달빛산책>,서울특별시 노원구 동일로 지하1308-1 (중계동),,37.6449411189,127.0642637521,2862358,"축제,인문",,[]
,공공한옥 밤마실,서울특별시 종로구 계동길 37 (계동),,37.5790529392,126.9867060298,3490789,"축제,인문",,[]
,"공존의 섬, 격렬비열도",충청남도 서천군 마서면 금강로 1210,,36.0271354218,126.7194583721,3340125,"축제,인문",,[]
,공주 석장리 구석기축제,충청남도 공주시 금벽로 990,,36.4479454091,127.1875830683,1947006,"축제,인문",,[]
,공주 유구 색동수국정원 꽃 축제,충청남도 공주시 유구읍 창말길 44,,36.5544513454,126.9562759705,2821437,"축제,인문",,[]
,공주야(밤) 맥주축제,충청남도 공주시 금벽로 368 (신관동),,36.4702917892,127.1275545162,3520310,"축제,인문",,[]
,공주에서 날밤까기,충청남도 공주시 금벽로 368 (신관동),,36.4702917892,127.1275545162,3403222,"축제,인문",,[]
,공지천 팝업 페스타,강원특별자치도 춘천시 온의동,,37.869354861,127.7221195171,3304126,"축제,인문",,[]
,과천공연예술축제,경기도 과천시 통영로 5 (중앙동),,37.4280177724,126.9906765998,2029491,"축제,인문",,[]
,관악강감찬축제,서울특별시 관악구 낙성대로 77,,37.4716399155,126.9587338341,2612274,"축제,인문",,[]
,관악별빛산책,서울특별시 관악구 신림동 1642-7,,37.4827825101,126.9276196866,2778088,"축제,인문",,[]
,관악청년축제,서울특별시 관악구 신원로 35 삼모 더 프라임 타워,,37.4823659172,126.9290390137,3004330,"축제,인문",,[]
,광명동굴 대한민국 와인 페스티벌,경기도 광명시 가학로85번길 142 (가학동),,37.4243548415,126.8648909266,2508997,"축제,인문",,[]
,광명마당극축제,경기도 광명시 시청로 20 (철산동),,37.4782846748,126.8639922756,3333149,"축제,인문",,[]
,광명시 청소년의 달 기념행사 오월의 난장,경기도 광명시 소하일로 9 광명시 청소년수련관,,37.4462193805,126.8879187734,2987020,"축제,인문",,[]
,광무대 목요풍류,서울특별시 종로구 종로 272 (종로6가),,37.5708709408,127.008107089,3484037,"축제,인문",,[]
,광복 80년 기념 빛 축제,서울특별시 종로구 세종대로 지하172 (세종로),,37.5716786179,126.9767821434,3520789,"축제,인문",,[]
,광복 80년 전야제 - 대한이 살았다!,서울특별시 영등포구 의사당대로 1 (여의도동),,37.529424118,126.9166304856,3518539,"축제,인문",,[]
,광복 80주년 기념 '강제동원 희생자의 길을 걷다',서울특별시 종로구 종로1길 45 (세종로),,37.5746727436,126.9783985779,3498398,"축제,인문",,[]
,광복 80주년 서울시 기념사업,서울특별시 중구 세종대로 110 (태평로1가),,37.5662570431,126.9777210995,3518593,"축제,인문",,[]
,광안리 M(Marvelous) 드론 라이트쇼,부산광역시 수영구 광안해변로 219 (광안동),,35.1538130576,129.1185477876,2786391,"축제,인문",,[]
,광안리어방축제,부산광역시 수영구 광안해변로 219 (광안동),,35.1538130576,129.1185477876,506545,"축제,인문",,[]
,광양 매화축제,전라남도 광양시 다압면 지막1길 55,,35.0758049399,127.7164723947,141020,"축제,인문",,[]
,광주 버스킹 월드컵,광주광역시 동구 금남로1가 41 금남지하상가,,35.14787758,126.9200351748,2990881,"축제,인문",,[]
,광주 정신건강 문화행사,광주광역시 서구 내방로 111 (치평동),,35.1590418545,126.8530408189,2743853,"축제,인문",,[]
,광주 추억의 충장축제,광주광역시 동구 금남로3가,,35.1502800157,126.915882704,692682,"축제,인문",,[]
,광주국가유산야행,광주광역시 동구 문화전당로 38 (광산동),,35.1460861028,126.9192936186,2608888,"축제,인문",,[]
,광주국제미술전람회 〈아트광주24〉,광주광역시 서구 상무누리로 30 (치평동),,35.1467152588,126.8405588979,3382746,"축제,인문",,[]
,광주김치축제,광주광역시 서구 내방로 111 (치평동),,35.1590418545,126.8530408189,604097,"축제,인문",,[]
,광주사운드파크페스티벌,광주광역시 서구 상무누리로 30 (치평동),,35.1467152588,126.8405588979,3369503,"축제,인문",,[]
,광주서창억새축제,광주광역시 서구 서창둑길 377 (벽진동),,35.1385326507,126.8287740332,2561700,"축제,인문",,[]
,광주시 남한산성문화제,경기도 광주시 남한산성면 남한산성로 731,,37.4767712288,127.1885044553,624181,"축제,인문",,[]
,광주여성영화제,광주광역시 동구 중앙로160번길 16-7 (불로동),,35.1468609363,126.9146634529,3460731,"축제,인문",,[]
,광주왕실도자페스티벌,경기도 광주시 곤지암읍 경충대로 727,,37.3526075818,127.3276231368,629718,"축제,인문",,[]
,광주청년주간,광주광역시 동구 금남로1가,,35.1475609426,126.9197074339,2851888,"축제,인문",,[]
,광주티앤카페쇼,광주광역시 서구 상무누리로 30 (치평동),,35.1467152588,126.8405588979,3481716,"축제,인문",,[]
,광주프린지페스티벌,광주광역시 북구 비엔날레로 111 (용봉동),,35.1820593228,126.8899953078,2487990,"축제,인문",,[]
,광진 생활문화예술축제,서울특별시 광진구 능동로 216 (능동),,37.5493552228,127.0762792676,3379253,"축제,인문",,[]
,괴산고추축제,충청북도 괴산군 괴산읍 임꺽정로 75-1,,36.8135281295,127.7882218743,141234,"축제,인문",,[]
,괴산김장축제,충청북도 괴산군 괴산읍 임꺽정로 113,,36.8147417924,127.7834944865,2754421,"축제,인문",,[]
,괴산빨간맛페스티벌,충청북도 괴산군 괴산읍 임꺽정로 92,,36.8145640909,127.7865442181,3110383,"축제,인문",,[]
,구례300리 벚꽃축제,전라남도 구례군 구례읍 서시천로 84-11,,35.2154404229,127.4665991088,3110031,"축제,인문",,[]
,구례산수유꽃축제,전라남도 구례군 산동면 상관1길 45,,35.3196509498,127.4703072042,506398,"축제,인문",,[]
,구로G페스티벌,서울특별시 구로구 구로동,,37.5001766935,126.8705493966,2039869,"축제,인문",,[]
,구로청소년축제,서울특별시 구로구 구로중앙로 48 (구로동),,37.4941610735,126.8900783422,2618971,"축제,인문",,[]
,구룡마을축제,부산광역시 영도구 중리로 35 (동삼동),,35.0740516073,129.0680488034,3359409,"축제,인문",,[]
,구리 유채꽃 축제,경기도 구리시 코스모스길14번길 249 (토평동),,37.5745310968,127.1328789538,526160,"축제,인문",,[]
,구리 코스모스 축제,경기도 구리시 코스모스길14번길 249 (토평동),,37.5745310968,127.1328789538,622946,"축제,인문",,[]
,"구미 청춘, 금오천 벚꽃 페스티벌",경상북도 구미시 산책길 105 (남통동),,36.1229140932,128.3248461967,3107804,"축제,인문",,[]
,구미라면 축제,경상북도 구미시 원평동,,36.1294495821,128.3314454298,3028462,"축제,인문",,[]
,구미산단 페스티벌,경상북도 구미시 1공단로 198-14 (공단동),,36.100923246,128.3846220737,3370464,"축제,인문",,[]
,구미푸드페스티벌,경상북도 구미시 송정동,,36.1161236505,128.3494830932,3017799,"축제,인문",,[]
,국립농업박물관 문화제,경기도 수원시 권선구 수인로 154,,37.2754797575,126.9826871564,3008671,"축제,인문",,[]
,국립농업박물관 어린이날 행사,경기도 수원시 권선구 수인로 154 (서둔동),,37.2754797575,126.9826871564,3114685,"축제,인문",,[]
,국립생태원 CCPP 기후환경 사진 프로젝트 ‘Confession to the Earth’,충청남도 서천군 마서면 금강로 1210,,36.0271354218,126.7194583721,3415916,"축제,인문",,[]
,국립양평치유의숲 반려동행 숲 피크닉,경기도 양평군 양동면 황거길 262-10,,37.4611243833,127.7181179769,3379276,"축제,인문",,[]
,국립충주기상과학관 어린이 날 기상과학 놀이마당,충청북도 충주시 번영대로 270-10 (연수동),,36.9857362806,127.9487886761,3489258,"축제,인문",,[]
