id,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,고디바_코엑스몰,"서울특별시 강남구 영동대로 513(삼성동,코엑스몰지하1층 112호)",,37.5119175967,127.059217995,2893635,"쇼핑,쇼핑",,[]
,고래서이뻐,부산광역시 해운대구 우동1로38번길 15-1 (우동),,35.1657319056,129.1583856629,3336600,"쇼핑,쇼핑",,[]
,고려홍삼 제주연동,제주특별자치도 제주시 제주시 신광로 27(연동),,33.4897142665,126.4903318113,2931775,"쇼핑,쇼핑",,[]
,고리울동굴시장,경기도 부천시 고리울로64번길 27,,37.5258811868,126.8227141465,2742165,"쇼핑,쇼핑",,[]
,고분다리전통시장,서울특별시 강동구 구천면로34길 8 (천호동),,37.5424098057,127.1316577579,2741571,"쇼핑,쇼핑",,[]
,고산미소시장,전북특별자치도 완주군 고산면 남봉로 134,,35.9744303986,127.2057718752,132301,"쇼핑,쇼핑",,[]
,고성 DMZ박물관 뮤지엄샵,강원특별자치도 고성군 현내면 통일전망대로 369,,38.5763766314,128.3827237217,1911421,"쇼핑,쇼핑",,[]
,고성시장,경상남도 고성군 고성읍 중앙로25번길 57,,34.9769128711,128.3236606969,132385,"쇼핑,쇼핑",,[]
,고성시장,경상남도 고성군 고성읍 중앙로25번길 57,,34.9771517345,128.3237495717,2753206,"쇼핑,쇼핑",,[]
,고성오일시장,제주특별자치도 서귀포시 성산읍 고성오조로 93,,33.4518891163,126.9127293498,132159,"쇼핑,쇼핑",,[]
,고세,서울특별시 강북구 도봉로 62 (미아동),,37.6146468109,127.0305315802,3306040,"쇼핑,쇼핑",,[]
,고세,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",,37.5089148857,126.8884169673,3307135,"쇼핑,쇼핑",,[]
,고세 현대가든파이브,서울특별시 송파구 충민로66 3층,,37.4776672007,127.1249768726,2924582,"쇼핑,쇼핑",,[]
